# Trouble in Terrorist Town weapon/ammo placement overrides
# For map: ahl2_amuse
# Exported by: Reverend Jesse V92
setting:	replacespawns 1
ttt_random_weapon	4634.056152 -296.812500 161.225815	1.584 4.760 -93.264
ttt_random_weapon	4602.441895 -414.111877 161.206680	1.800 4.775 -92.769
ttt_random_weapon	4196.205566 -685.258606 73.207314	1.960 1.854 -93.435
ttt_random_weapon	4197.663574 -431.725677 73.144653	2.423 2.832 -93.531
ttt_random_weapon	4290.085449 865.523315 69.200615	1.868 4.779 -92.613
ttt_random_weapon	4279.546875 1170.389771 69.217949	1.673 4.766 -93.061
ttt_random_weapon	5023.194824 1491.166870 69.214317	1.692 5.719 -93.101
ttt_random_weapon	5675.095215 1391.202148 69.235428	1.467 5.727 -93.564
ttt_random_weapon	5809.465332 -643.994629 161.237457	1.452 4.749 -93.566
ttt_random_weapon	5805.857422 -352.243561 161.193680	1.946 4.785 -92.434
ttt_random_weapon	6355.193848 -272.704987 69.198036	1.866 5.710 -92.745
ttt_random_weapon	6426.771973 -776.403748 69.221970	1.611 5.720 -93.268
ttt_random_weapon	6415.615723 -687.731750 69.203064	1.812 5.715 -92.855
ttt_random_weapon	6382.253906 -1510.089111 69.156250	2.308 5.660 -91.833
ttt_random_weapon	5795.337891 -2440.788086 69.206352	1.777 5.716 -92.926
ttt_random_weapon	5255.372559 -2492.845703 69.198036	1.866 5.710 -92.745
ttt_random_weapon	3392.570313 -1777.957520 129.227875	1.547 5.722 -93.398
ttt_random_weapon	3342.644287 -1633.086792 129.197266	1.874 5.711 -92.728
ttt_random_weapon	3220.447998 -604.966492 1.190576	1.981 4.920 -92.354
ttt_random_weapon	3225.042480 -836.006653 1.195578	1.925 4.924 -92.483
ttt_random_weapon	3190.382568 361.318329 17.690121	2.356 3.356 -97.220
ttt_random_weapon	3381.432373 370.404022 18.341063	-2.891 1.432 -40.605
ttt_random_weapon	2886.609131 -214.978577 257.211029	1.751 4.927 -92.882
ttt_random_weapon	2863.269043 -1086.782959 257.219452	1.656 4.923 -93.099
ttt_random_weapon	2622.112305 -1117.884521 481.193115	1.952 4.926 -92.420
ttt_random_weapon	2614.759277 -595.925659 481.237335	1.996 2.305 -90.135
ttt_random_weapon	2616.819336 -621.158508 481.205597	1.812 4.928 -92.742
ttt_random_weapon	2625.543701 -187.112320 481.207489	1.791 4.929 -92.791
ttt_random_weapon	2124.710449 836.865967 1.225592	1.586 4.918 -93.258
ttt_random_weapon	2525.382813 1051.067993 4.254873	-6.839 170.021 175.684
ttt_random_weapon	2716.306152 1291.922974 57.461380	1.881 4.895 -92.584
ttt_random_weapon	2764.851318 1278.936157 57.432278	2.208 152.863 -91.835
ttt_random_weapon	2825.790283 1277.843384 57.448959	2.021 4.904 -92.263
ttt_random_weapon	2905.745117 1293.937744 57.449879	2.010 4.903 -92.287
ttt_random_weapon	2258.591309 1315.035889 50.429302	1.381 3.186 -93.733
ttt_random_weapon	2255.552734 1307.929321 50.414898	1.368 5.445 -93.566
ttt_random_weapon	2176.822266 1448.340210 46.750900	1.473 -3.051 -95.426
ttt_random_weapon	1886.464600 1159.913208 1.214583	1.711 4.769 -92.973
ttt_random_weapon	792.250916 569.711365 1.222314	1.623 4.921 -93.173
ttt_random_weapon	576.737793 773.530518 1.226910	1.571 4.917 -93.293
ttt_random_weapon	618.152588 769.152527 1.213207	1.726 4.926 -92.938
ttt_random_weapon	284.072815 629.087524 5.210269	1.759 4.772 -92.862
ttt_random_weapon	448.777039 710.414673 5.225812	1.584 4.760 -93.264
ttt_random_weapon	-116.406456 762.806519 1.218560	1.666 4.923 -93.076
ttt_random_weapon	-143.285187 568.990601 1.209309	1.770 4.927 -92.837
ttt_random_weapon	-216.842789 228.203018 1.236148	1.467 4.908 -93.532
ttt_random_weapon	-798.049438 75.599174 129.209976	1.739 5.716 -93.006
ttt_random_weapon	-733.807373 161.482300 129.153412	2.338 5.663 -91.772
ttt_random_weapon	-696.085632 102.977051 129.219055	1.642 5.720 -93.205
ttt_random_weapon	265.852936 2012.760742 133.196869	1.910 4.782 -92.516
ttt_random_weapon	323.420410 2020.847046 133.227112	1.569 4.759 -93.298
ttt_random_weapon	553.763672 2036.892700 133.216553	1.689 4.767 -93.024
ttt_random_weapon	554.244812 2021.024048 133.217941	1.673 4.766 -93.061
ttt_random_weapon	1003.618896 2159.729248 129.224548	1.598 4.919 -93.231
ttt_random_weapon	1153.315063 1069.190674 129.222305	1.623 4.921 -93.173
ttt_random_weapon	1055.905273 -720.198425 1.226589	1.575 4.917 -93.284
ttt_random_weapon	1044.566162 -254.386383 1.195572	1.925 4.924 -92.483
ttt_random_weapon	698.145264 24.382933 1.212136	1.738 4.926 -92.910
ttt_random_weapon	371.311279 60.496975 1.217649	1.676 4.924 -93.053
ttt_random_weapon	-37.192459 -271.069244 1.208713	1.777 4.927 -92.822
ttt_random_weapon	-28.166740 -689.826355 1.201571	1.858 4.928 -92.637
ttt_random_weapon	370.554352 -1069.985718 1.216714	1.687 4.924 -93.029
ttt_random_weapon	711.899170 -1055.077759 1.204312	1.827 4.929 -92.708
ttt_random_weapon	437.627625 -2053.622070 129.188828	2.001 4.922 -92.309
ttt_random_weapon	-23.051310 -1979.973877 1.180305	2.054 5.699 -92.357
ttt_random_weapon	831.330078 -2042.695313 129.228149	1.557 4.916 -93.325
ttt_random_weapon	1586.612305 -2467.587646 129.231201	1.523 4.913 -93.404
ttt_random_weapon	2058.252686 -2454.611084 129.222702	1.619 4.921 -93.184
ttt_random_weapon	1546.387695 -1092.577026 481.213867	1.655 4.759 -93.353
ttt_random_weapon	1525.593506 -299.615173 481.230927	1.526 4.914 -93.397
ttt_random_weapon	823.204468 -3650.854980 129.196365	1.916 4.929 -92.503
ttt_random_weapon	1215.770874 -4102.451660 129.245728	1.358 4.794 -93.781
ttt_random_weapon	1018.885681 -4080.053223 129.221512	1.632 4.921 -93.153
ttt_random_weapon	229.955261 -4024.417236 129.188812	2.001 4.922 -92.308
ttt_random_weapon	395.132294 -3270.778076 145.207291	1.793 4.774 -92.785
ttt_random_weapon	347.387512 -3279.096680 145.220566	1.643 4.764 -93.128
ttt_random_weapon	-130.127991 -3626.212402 129.206894	1.798 4.929 -92.775
ttt_random_weapon	56.678329 -3251.326904 129.228455	1.554 4.916 -93.332
ttt_random_weapon	-707.319214 -2377.153076 1.215757	1.698 4.256 -93.004
ttt_random_weapon	-1642.043945 -1643.495728 57.494965	1.177 4.985 -93.825
ttt_random_weapon	-1439.557007 -1494.185791 57.496658	1.483 4.673 -93.496
ttt_random_weapon	-1829.954224 -1526.404663 57.471611	1.766 4.708 -92.848
ttt_random_weapon	-2819.190186 -2627.760986 1.227881	1.547 5.722 -93.398
ttt_random_weapon	-2212.503662 -1007.107239 32.285542	1.461 6.933 -93.630
ttt_random_weapon	-2279.718262 -1007.902344 32.207676	2.299 3.719 -91.648
ttt_random_weapon	-2250.801758 -767.845398 32.236649	2.185 4.781 -91.935
ttt_random_weapon	-2303.800049 -762.427307 32.307339	1.270 3.562 -93.861
ttt_random_weapon	-2262.506348 -153.510941 32.288418	1.338 4.755 -93.864
ttt_random_weapon	-2307.699463 -151.628082 32.288063	1.237 2.972 -94.612
ttt_random_weapon	-3032.603760 100.000710 33.205620	1.812 4.928 -92.742
ttt_random_weapon	-2958.557373 90.528961 33.232189	1.512 4.912 -93.429
ttt_random_weapon	-3509.422852 -998.570984 33.221920	1.628 4.921 -93.163
ttt_random_weapon	-3617.831299 -481.106415 161.197922	1.899 4.927 -92.543
ttt_random_weapon	-3551.918457 -423.399292 161.216248	1.692 4.925 -93.016
ttt_random_weapon	-3596.390137 1105.356445 33.192295	1.962 4.927 -92.398
